00c02812  4ef900fc5a58             jmp 0x00fc5a58.l
00c2fc16  6004                     bra.b 0x00c2fc1c
00c2fc18  0645000a                 addi.w #0xa,D5w
00c2fc1c  2e2a0008                 move.l (0x8,A2),D7
00c2fc20  de89                     add.l A1,D7
00c2fc22  082800060002             btst.b #0x6,(0x2,A0)
00c2fc28  6706                     beq.b 0x00c2fc30
00c2fc2a  4e71                     nop
00c2fc2c  4e71                     nop
00c2fc2e  60f2                     bra.b 0x00c2fc22
00c2fc30  31450040                 move.w D5w,(0x40,A0)
00c2fc34  31410042                 move.w D1w,(0x42,A0)
00c2fc38  31420052                 move.w D2w,(0x52,A0)
00c2fc3c  21470048                 move.l D7,(0x48,A0)
00c2fc40  21470054                 move.l D7,(0x54,A0)
00c2fc44  317c80000074             move.w #-0x8000,(0x74,A0)
00c2fc4a  31430062                 move.w D3w,(0x62,A0)
00c2fc4e  31440058                 move.w D4w,(0x58,A0)
00c2fc52  0839000200c456e7         btst.b #0x2,(0x00c456e7).l
00c2fc5a  675e                     beq.b 0x00c2fcba
00c2fc5c  3a06                     move.w D6w,D5w
00c2fc5e  4a7900c456e8             tst.w (0x00c456e8).l
00c2fc64  6d0a                     blt.b 0x00c2fc70
00c2fc70  0839000200c45957         btst.b #0x2,(0x00c45957).l
00c2fc78  6706                     beq.b 0x00c2fc80
00c2fc80  0645000a                 addi.w #0xa,D5w
00c2fc84  2e2a0004                 move.l (0x4,A2),D7
00c2fc88  de89                     add.l A1,D7
00c2fc8a  082800060002             btst.b #0x6,(0x2,A0)
00c2fc90  6706                     beq.b 0x00c2fc98
00c2fc92  4e71                     nop
00c2fc94  4e71                     nop
00c2fc96  60f2                     bra.b 0x00c2fc8a
00c2fc98  31450040                 move.w D5w,(0x40,A0)
00c2fc9c  31410042                 move.w D1w,(0x42,A0)
00c2fca0  31420052                 move.w D2w,(0x52,A0)
00c2fca4  21470048                 move.l D7,(0x48,A0)
00c2fca8  21470054                 move.l D7,(0x54,A0)
00c2fcac  317c80000074             move.w #-0x8000,(0x74,A0)
00c2fcb2  31430062                 move.w D3w,(0x62,A0)
00c2fcb6  31440058                 move.w D4w,(0x58,A0)
00c2fcba  0839000300c456e7         btst.b #0x3,(0x00c456e7).l
00c2fcc2  675c                     beq.b 0x00c2fd20
00c2fcc4  3a06                     move.w D6w,D5w
00c2fcc6  4a7900c456e8             tst.w (0x00c456e8).l
00c2fccc  6d0a                     blt.b 0x00c2fcd8
00c2fcd8  0839000300c45957         btst.b #0x3,(0x00c45957).l
00c2fce0  6706                     beq.b 0x00c2fce8
00c2fce2  064500fa                 addi.w #0xfa,D5w
00c2fce6  6004                     bra.b 0x00c2fcec
00c2fce8  0645000a                 addi.w #0xa,D5w
00c2fcec  2e12                     move.l (A2),D7
00c2fcee  de89                     add.l A1,D7
00c2fcf0  082800060002             btst.b #0x6,(0x2,A0)
00c2fcf6  6706                     beq.b 0x00c2fcfe
00c2fcf8  4e71                     nop
00c2fcfa  4e71                     nop
00c2fcfc  60f2                     bra.b 0x00c2fcf0
00c2fcfe  31450040                 move.w D5w,(0x40,A0)
00c2fd02  31410042                 move.w D1w,(0x42,A0)
00c2fd06  31420052                 move.w D2w,(0x52,A0)
00c2fd0a  21470048                 move.l D7,(0x48,A0)
00c2fd0e  21470054                 move.l D7,(0x54,A0)
00c2fd12  317c80000074             move.w #-0x8000,(0x74,A0)
00c2fd18  31430062                 move.w D3w,(0x62,A0)
00c2fd1c  31440058                 move.w D4w,(0x58,A0)
00c2fd20  4e75                     rts
00c30762  4e75                     rts
00c30764  4a3900c45836             tst.b (0x00c45836).l
00c3076a  6ff6                     ble.b 0x00c30762
00c309b6  43faffee                 lea (-0x12,PC),A1
00c309ba  47faffe6                 lea (-0x1a,PC),A3
00c309be  343c0fce                 move.w #0xfce,D2w
00c309c2  2653                     movea.l (A3),A3
00c309c4  2013                     move.l (A3),D0
00c309c6  223c000014ca             move.l #0x14ca,D1
00c309cc  387c0012                 movea.w #0x12,A4
00c309d0  3c3c0312                 move.w #0x312,D6w
00c309d4  3a7c0005                 movea.w #0x5,A5
00c309d8  3e3c0001                 move.w #0x1,D7w
00c309dc  610004cc                 bsr.w 0x00c30eaa
00c309e0  4e75                     rts
00c30eaa  207c00000000             movea.l #0x0,A0
00c30eb0  247900c456b6             movea.l (0x00c456b6).l,A2
00c30eb6  d2b900c45918             add.l (0x00c45918).l,D1
00c30ebc  61000224                 bsr.w 0x00c310e2
00c30ec0  6d0000ae                 blt.w 0x00c30f70
00c30ec4  da47                     add.w D7w,D5w
00c30ec6  de47                     add.w D7w,D7w
00c30ec8  48c7                     ext.l D7
00c30eca  9c45                     sub.w D5w,D6w
00c30ecc  da45                     add.w D5w,D5w
00c30ece  5245                     addq.w #0x1,D5w
00c30ed0  4842                     swap D2
00c30ed2  3408                     move.w A0w,D2w
00c30ed4  da42                     add.w D2w,D5w
00c30ed6  4842                     swap D2
00c30ed8  48c5                     ext.l D5
00c30eda  0c8100000028             cmpi.l #0x28,D1
00c30ee0  6c14                     bge.b 0x00c30ef6
00c30ef6  281a                     move.l (A2)+,D4
00c30ef8  d881                     add.l D1,D4
00c30efa  2659                     movea.l (A1)+,A3
00c30efc  2613                     move.l (A3),D3
00c30efe  d687                     add.l D7,D3
00c30f00  d087                     add.l D7,D0
00c30f02  41f900dff000             lea (0xdff000).l,A0
00c30f08  4eb900c53f44             jsr 0x00c53f44.l
00c30f0e  317c00000042             move.w #0x0,(0x42,A0)
00c30f14  317cffff0044             move.w #-0x1,(0x44,A0)
00c30f1a  317cffff0046             move.w #-0x1,(0x46,A0)
00c30f20  31450062                 move.w D5w,(0x62,A0)
00c30f24  4842                     swap D2
00c30f26  9a42                     sub.w D2w,D5w
00c30f28  4842                     swap D2
00c30f2a  31450064                 move.w D5w,(0x64,A0)
00c30f2e  5345                     subq.w #0x1,D5w
00c30f30  da4d                     add.w A5w,D5w
00c30f32  31450060                 move.w D5w,(0x60,A0)
00c30f36  31450066                 move.w D5w,(0x66,A0)
00c30f3a  6100001a                 bsr.w 0x00c30f56
00c30f3e  61000006                 bsr.w 0x00c30f46
00c30f42  61000002                 bsr.w 0x00c30f46
00c30f46  281a                     move.l (A2)+,D4
00c30f48  d881                     add.l D1,D4
00c30f4a  2659                     movea.l (A1)+,A3
00c30f4c  2613                     move.l (A3),D3
00c30f4e  d687                     add.l D7,D3
00c30f50  4eb900c53f44             jsr 0x00c53f44.l
00c30f56  31420040                 move.w D2w,(0x40,A0)
00c30f5a  21400050                 move.l D0,(0x50,A0)
00c30f5e  2143004c                 move.l D3,(0x4c,A0)
00c30f62  21440048                 move.l D4,(0x48,A0)
00c30f66  21440054                 move.l D4,(0x54,A0)
00c30f6a  31460058                 move.w D6w,(0x58,A0)
00c30f6e  4e75                     rts
00c310e2  3a3900c45986             move.w (0x00c45986).l,D5w
00c310e8  de45                     add.w D5w,D7w
00c310ea  6c14                     bge.b 0x00c31100
00c31100  da45                     add.w D5w,D5w
00c31102  48c5                     ext.l D5
00c31104  d285                     add.l D5,D1
00c31106  3a07                     move.w D7w,D5w
00c31108  7e00                     moveq 0x0,D7
00c3110a  da4c                     add.w A4w,D5w
00c3110c  04450014                 subi.w #0x14,D5w
00c31110  6d0a                     blt.b 0x00c3111c
00c3111c  7a00                     moveq 0x0,D5
00c3111e  4e75                     rts
00c31226  23fc000fffff00c456e6     move.l #0xfffff,(0x00c456e6).l
00c31230  223c000016b8             move.l #0x16b8,D1
00c31236  387c0004                 movea.w #0x4,A4
00c3123a  3e3c0008                 move.w #0x8,D7w
00c3123e  d2b900c45918             add.l (0x00c45918).l,D1
00c31244  4eb900c310e2             jsr 0x00c310e2.l
00c3124a  6dd8                     blt.b 0x00c31224
00c3124c  0c39000100c45837         cmpi.b #0x1,(0x00c45837).l
00c31254  6e1a                     bgt.b 0x00c31270
00c31256  6728                     beq.b 0x00c31280
00c31258  303900c458da             move.w (0x00c458da).l,D0w
00c3125e  0240000e                 andi.w #0xe,D0w
00c31262  6736                     beq.b 0x00c3129a
00c3129a  33fc000300c45954         move.w #0x3,(0x00c45954).l
00c312a2  41faffe6                 lea (-0x1a,PC),A0
00c312a6  4c98000f                 movem.w (A0)+,{ D0 D1 D2 D3}
00c312aa  d07900c45988             add.w (0x00c45988).l,D0w
00c312b0  6d2a                     blt.b 0x00c312dc
00c312b2  0c400140                 cmpi.w #0x140,D0w
00c312b6  6c24                     bge.b 0x00c312dc
00c312b8  d47900c45988             add.w (0x00c45988).l,D2w
00c312be  6d1c                     blt.b 0x00c312dc
00c312c0  0c420140                 cmpi.w #0x140,D2w
00c312c4  6c16                     bge.b 0x00c312dc
00c312c6  d27900c458d8             add.w (0x00c458d8).l,D1w
00c312cc  d67900c458d8             add.w (0x00c458d8).l,D3w
00c312d2  2f08                     move.l A0,-(SP)
00c312d4  4eb900c2fa78             jsr 0x00c2fa78.l
00c312da  205f                     movea.l (SP)+,A0
00c312dc  4c98000f                 movem.w (A0)+,{ D0 D1 D2 D3}
00c312e0  d07900c45988             add.w (0x00c45988).l,D0w
00c312e6  6d26                     blt.b 0x00c3130e
00c312e8  0c400140                 cmpi.w #0x140,D0w
00c312ec  6c20                     bge.b 0x00c3130e
00c312ee  d47900c45988             add.w (0x00c45988).l,D2w
00c312f4  6d18                     blt.b 0x00c3130e
00c312f6  0c420140                 cmpi.w #0x140,D2w
00c312fa  6c12                     bge.b 0x00c3130e
00c312fc  d27900c458d8             add.w (0x00c458d8).l,D1w
00c31302  d67900c458d8             add.w (0x00c458d8).l,D3w
00c31308  4eb900c2fa78             jsr 0x00c2fa78.l
00c3130e  60000082                 bra.w 0x00c31392
00c31392  4a3900c45838             tst.b (0x00c45838).l
00c31398  6700fe8a                 beq.w 0x00c31224
00c3139c  45f900c4e71c             lea (0xc4e71c).l,A2
00c313a2  4a7900c4566c             tst.w (0x00c4566c).l
00c313a8  6704                     beq.b 0x00c313ae
00c313aa  d4fc0028                 adda.w #0x28,A2
00c313ae  33fc000000c45954         move.w #0x0,(0x00c45954).l
00c313b6  740a                     moveq 0xa,D2
00c313b8  301a                     move.w (A2)+,D0w
00c313ba  6c18                     bge.b 0x00c313d4
00c313bc  0c40ffff                 cmpi.w #-0x1,D0w
00c313c0  6726                     beq.b 0x00c313e8
00c313d4  321a                     move.w (A2)+,D1w
00c313d6  2f0a                     move.l A2,-(SP)
00c313d8  3f02                     move.w D2w,-(SP)
00c313da  4eb900c2f5f4             jsr 0x00c2f5f4.l
00c313e0  341f                     move.w (SP)+,D2w
00c313e2  245f                     movea.l (SP)+,A2
00c313e4  51caffd2                 dbf D2w,0x00c313b8
00c313e8  7e00                     moveq 0x0,D7
00c313ea  523900c45883             addq.b #0x1,(0x00c45883).l
00c313f0  423900c4586d             clr.b (0x00c4586d).l
00c313f6  41f900c4e2bc             lea (0xc4e2bc).l,A0
00c313fc  7c01                     moveq 0x1,D6
00c313fe  45f900c4e71c             lea (0xc4e71c).l,A2
00c31404  4a7900c4566c             tst.w (0x00c4566c).l
00c3140a  6704                     beq.b 0x00c31410
00c3140c  d4fc0028                 adda.w #0x28,A2
00c31410  4cd80007                 movem.l (A0)+,{ D0 D1 D2}
00c31414  2600                     move.l D0,D3
00c31416  8681                     or.l D1,D3
00c31418  8682                     or.l D2,D3
00c3141a  67000306                 beq.w 0x00c31722
00c3141e  c342                     exg D1,D2
00c31420  2a00                     move.l D0,D5
00c31422  2a41                     movea.l D1,A5
00c31424  383c000d                 move.w #0xd,D4w
00c31428  e8a0                     asr.l D4,D0
00c3142a  6402                     bcc.b 0x00c3142e
00c3142c  5280                     addq.l #0x1,D0
00c3142e  e8a1                     asr.l D4,D1
00c31430  6402                     bcc.b 0x00c31434
00c31432  5281                     addq.l #0x1,D1
00c31434  3610                     move.w (A0),D3w
00c31436  08030004                 btst.l #0x4,D3
00c3143a  670002d8                 beq.w 0x00c31714
00c3143e  3803                     move.w D3w,D4w
00c31440  0244ff00                 andi.w #-0x100,D4w
00c31444  d844                     add.w D4w,D4w
00c31446  43f900c46184             lea (0xc46184).l,A1
00c3144c  d2c4                     adda.w D4w,A1
00c3144e  b87900c458de             cmp.w (0x00c458de).l,D4w
00c31454  673c                     beq.b 0x00c31492
00c31456  082900060001             btst.b #0x6,(0x1,A1)
00c3145c  6734                     beq.b 0x00c31492
00c3145e  082900070003             btst.b #0x7,(0x3,A1)
00c31464  662c                     bne.b 0x00c31492
00c31466  4480                     neg.l D0
00c31468  0c800000001b             cmpi.l #0x1b,D0
00c3146e  6e1a                     bgt.b 0x00c3148a
00c31470  0c80ffffffe5             cmpi.l #-0x1b,D0
00c31476  6d12                     blt.b 0x00c3148a
00c31478  4481                     neg.l D1
00c3147a  0c8100000016             cmpi.l #0x16,D1
00c31480  6c08                     bge.b 0x00c3148a
00c31482  0c81fffffff0             cmpi.l #-0x10,D1
00c31488  6c12                     bge.b 0x00c3149c
00c3149c  123900c458a6             move.b (0x00c458a6).l,D1b
00c314a2  0c01007d                 cmpi.b #0x7d,D1b
00c314a6  67000108                 beq.w 0x00c315b0
00c314aa  5501                     subq.b #0x2,D1b
00c314ac  67000102                 beq.w 0x00c315b0
00c314b0  2205                     move.l D5,D1
00c314b2  6c02                     bge.b 0x00c314b6
00c314b6  0c8100010000             cmpi.l #0x10000,D1
00c314bc  6e0000ec                 bgt.w 0x00c315aa
00c315aa  08a900060020             bclr.b #0x6,(0x20,A1)
00c315b0  08030004                 btst.l #0x4,D3
00c315b4  6706                     beq.b 0x00c315bc
00c315b6  08e900060000             bset.b #0x6,(0x0,A1)
00c315bc  2005                     move.l D5,D0
00c315be  220d                     move.l A5,D1
00c315c0  2f08                     move.l A0,-(SP)
00c315c2  41f900c46184             lea (0xc46184).l,A0
00c315c8  d0f900c458de             adda.w (0x00c458de).l,A0
00c315ce  18280063                 move.b (0x63,A0),D4b
00c315d2  205f                     movea.l (SP)+,A0
00c315d4  0204000f                 andi.b #0xf,D4b
00c315d8  4884                     ext.w D4w
00c315da  e8a0                     asr.l D4,D0
00c315dc  6402                     bcc.b 0x00c315e0
00c315de  5280                     addq.l #0x1,D0
00c315e0  e8a1                     asr.l D4,D1
00c315e2  6402                     bcc.b 0x00c315e6
00c315e4  5281                     addq.l #0x1,D1
00c315e6  4480                     neg.l D0
00c315e8  0c800000001b             cmpi.l #0x1b,D0
00c315ee  6e000124                 bgt.w 0x00c31714
00c315f2  0c80ffffffe5             cmpi.l #-0x1b,D0
00c315f8  6d00011a                 blt.w 0x00c31714
00c315fc  4481                     neg.l D1
00c315fe  0c8100000016             cmpi.l #0x16,D1
00c31604  6c00010e                 bge.w 0x00c31714
00c31608  0c81fffffff0             cmpi.l #-0x10,D1
00c3160e  6d000104                 blt.w 0x00c31714
00c31612  0640009e                 addi.w #0x9e,D0w
00c31616  d07900c45988             add.w (0x00c45988).l,D0w
00c3161c  6d0000f0                 blt.w 0x00c3170e
00c31620  0c400140                 cmpi.w #0x140,D0w
00c31624  6c0000e8                 bge.w 0x00c3170e
00c31628  064100a7                 addi.w #0xa7,D1w
00c3162c  08030004                 btst.l #0x4,D3
00c31630  670000dc                 beq.w 0x00c3170e
00c31634  2a3900c45a78             move.l (0x00c45a78).l,D5
00c3163a  3803                     move.w D3w,D4w
00c3163c  0244ff00                 andi.w #-0x100,D4w
00c31640  d844                     add.w D4w,D4w
00c31642  b87900c459c0             cmp.w (0x00c459c0).l,D4w
00c31648  660c                     bne.b 0x00c31656
00c31656  2f08                     move.l A0,-(SP)
00c31658  41f900c46184             lea (0xc46184).l,A0
00c3165e  d0c4                     adda.w D4w,A0
00c31660  4485                     neg.l D5
00c31662  08870000                 bclr.l #0x0,D7
00c31666  baa80010                 cmp.l (0x10,A0),D5
00c3166a  6e04                     bgt.b 0x00c31670
00c31670  1a280062                 move.b (0x62,A0),D5b
00c31674  020500f0                 andi.b #-0x10,D5b
00c31678  0c050020                 cmpi.b #0x20,D5b
00c3167c  6732                     beq.b 0x00c316b0
00c316b0  343c0005                 move.w #0x5,D2w
00c316b4  6002                     bra.b 0x00c316b8
00c316b8  33c200c45954             move.w D2w,(0x00c45954).l
00c316be  205f                     movea.l (SP)+,A0
00c316c0  4a7900c4566c             tst.w (0x00c4566c).l
00c316c6  6608                     bne.b 0x00c316d0
00c316d0  b5fc00c4e76c             cmpa.l #0xc4e76c,A2
00c316d6  6c36                     bge.b 0x00c3170e
00c316d8  3f03                     move.w D3w,-(SP)
00c316da  d27900c458d8             add.w (0x00c458d8).l,D1w
00c316e0  08070000                 btst.l #0x0,D7
00c316e4  6610                     bne.b 0x00c316f6
00c316e6  34c0                     move.w D0w,(A2)+
00c316e8  34c1                     move.w D1w,(A2)+
00c316ea  48e702e0                 movem.l {  A2 A1 A0 D6},-(SP)
00c316ee  4eb900c2f5f4             jsr 0x00c2f5f4.l
00c316f4  6012                     bra.b 0x00c31708
00c31708  4cdf0740                 movem.l (SP)+,{  D6 A0 A1 A2}
00c3170c  361f                     move.w (SP)+,D3w
00c3170e  08c30005                 bset.l #0x5,D3
00c31712  6004                     bra.b 0x00c31718
00c31718  30c3                     move.w D3w,(A0)+
00c3171a  5448                     addq.w #0x2,A0
00c3171c  5246                     addq.w #0x1,D6w
00c3171e  6000fcf0                 bra.w 0x00c31410
00c31722  34bcffff                 move.w #-0x1,(A2)
00c31726  103900c4586d             move.b (0x00c4586d).l,D0b
00c3172c  670000c2                 beq.w 0x00c317f0
00c317f0  323900c45ae0             move.w (0x00c45ae0).l,D1w
00c317f6  024100ff                 andi.w #0xff,D1w
00c317fa  0c41800e                 cmpi.w #-0x7ff2,D1w
00c317fe  6606                     bne.b 0x00c31806
00c31806  13c000c4586e             move.b D0b,(0x00c4586e).l
00c3180c  4a3900c457b9             tst.b (0x00c457b9).l
00c31812  670000e0                 beq.w 0x00c318f4
00c318f4  4e75                     rts
00c31c5e  4e75                     rts
00c31c60  33fc000d00c45954         move.w #0xd,(0x00c45954).l
00c31c68  43f900c46184             lea (0xc46184).l,A1
00c31c6e  d2f900c458de             adda.w (0x00c458de).l,A1
00c31c74  45f900c457fa             lea (0xc457fa).l,A2
00c31c7a  7000                     moveq 0x0,D0
00c31c7c  14290063                 move.b (0x63,A1),D2b
00c31c80  020200f0                 andi.b #-0x10,D2b
00c31c84  67d8                     beq.b 0x00c31c5e
00c31d64  49f900c46184             lea (0xc46184).l,A4
00c31d6a  d8f900c458de             adda.w (0x00c458de).l,A4
00c31d70  33fc000d00c45954         move.w #0xd,(0x00c45954).l
00c31d78  23fc000fffff00c456e6     move.l #0xfffff,(0x00c456e6).l
00c31d82  0c2c00110062             cmpi.b #0x11,(0x62,A4)
00c31d88  671c                     beq.b 0x00c31da6
00c31d8a  303c0072                 move.w #0x72,D0w
00c31d8e  323c0041                 move.w #0x41,D1w
00c31d92  4eb900c2f5c0             jsr 0x00c2f5c0.l
00c31d98  49f80994                 lea (0x994).w,A4
00c31d9c  343c000c                 move.w #0xc,D2w
00c31da0  43fafb5e                 lea (-0x4a2,PC),A1
00c31da4  603c                     bra.b 0x00c31de2
00c31de2  45f900c457fa             lea (0xc457fa).l,A2
00c31de8  41f900c46184             lea (0xc46184).l,A0
00c31dee  d0f900c458de             adda.w (0x00c458de).l,A0
00c31df4  30280056                 move.w (0x56,A0),D0w
00c31df8  3200                     move.w D0w,D1w
00c31dfa  e641                     asr.w #0x3,D1w
00c31dfc  d041                     add.w D1w,D0w
00c31dfe  3c3900c45946             move.w (0x00c45946).l,D6w
00c31e04  6c02                     bge.b 0x00c31e08
00c31e08  0c460001                 cmpi.w #0x1,D6w
00c31e0c  6f06                     ble.b 0x00c31e14
00c31e14  e640                     asr.w #0x3,D0w
00c31e16  323900c458ca             move.w (0x00c458ca).l,D1w
00c31e1c  02410002                 andi.w #0x2,D1w
00c31e20  6706                     beq.b 0x00c31e28
00c31e28  0440000a                 subi.w #0xa,D0w
00c31e2c  6c08                     bge.b 0x00c31e36
00c31e2e  4440                     neg.w D0w
00c31e30  14bc0020                 move.b #0x20,(A2)
00c31e34  6004                     bra.b 0x00c31e3a
00c31e3a  41ea0003                 lea (0x3,A2),A0
00c31e3e  7c02                     moveq 0x2,D6
00c31e40  7e01                     moveq 0x1,D7
00c31e42  48c0                     ext.l D0
00c31e44  23c000c45b1e             move.l D0,(0x00c45b1e).l
00c31e4a  4eb900c25a08             jsr 0x00c25a08.l
00c31e50  3002                     move.w D2w,D0w
00c31e52  3407                     move.w D7w,D2w
00c31e54  4840                     swap D0
00c31e56  3006                     move.w D6w,D0w
00c31e58  61000c4a                 bsr.w 0x00c32aa4
00c32aa4  7800                     moveq 0x0,D4
00c32aa6  3c3900c45986             move.w (0x00c45986).l,D6w
00c32aac  2e3900c45918             move.l (0x00c45918).l,D7
00c32ab2  601c                     bra.b 0x00c32ad0
00c32ad0  263900c45b22             move.l (0x00c45b22).l,D3
00c32ad6  3a02                     move.w D2w,D5w
00c32ad8  3203                     move.w D3w,D1w
00c32ada  0241000f                 andi.w #0xf,D1w
00c32ade  06410030                 addi.w #0x30,D1w
00c32ae2  1101                     move.b D1b,-(A0)
00c32ae4  e88b                     lsr.l #0x4,D3
00c32ae6  51cafff0                 dbf D2w,0x00c32ad8
00c32aea  4a04                     tst.b D4b
00c32aec  6612                     bne.b 0x00c32b00
00c32aee  5345                     subq.w #0x1,D5w
00c32af0  0c180030                 cmpi.b #0x30,(A0)+
00c32af4  660a                     bne.b 0x00c32b00
00c32af6  117c0020ffff             move.b #0x20,(-0x1,A0)
00c32afc  5345                     subq.w #0x1,D5w
00c32afe  6cf0                     bge.b 0x00c32af0
00c32b00  d9c7                     adda.l D7,A4
00c32b02  3e3c0142                 move.w #0x142,D7w
00c32b06  2a7900c456b6             movea.l (0x00c456b6).l,A5
00c32b0c  dc46                     add.w D6w,D6w
00c32b0e  3a19                     move.w (A1)+,D5w
00c32b10  3619                     move.w (A1)+,D3w
00c32b12  181a                     move.b (A2)+,D4b
00c32b14  0c040020                 cmpi.b #0x20,D4b
00c32b18  670000b2                 beq.w 0x00c32bcc
00c32b1c  4840                     swap D0
00c32b1e  3400                     move.w D0w,D2w
00c32b20  4840                     swap D0
00c32b22  d446                     add.w D6w,D2w
00c32b24  d445                     add.w D5w,D2w
00c32b26  6d0000a4                 blt.w 0x00c32bcc
00c32b2a  0c420028                 cmpi.w #0x28,D2w
00c32b2e  6c00009c                 bge.w 0x00c32bcc
00c32b32  da46                     add.w D6w,D5w
00c32b34  48c5                     ext.l D5
00c32b36  da8c                     add.l A4,D5
00c32b38  024400ff                 andi.w #0xff,D4w
00c32b3c  04440020                 subi.w #0x20,D4w
00c32b40  d844                     add.w D4w,D4w
00c32b42  47f900c3d790             lea (0xc3d790).l,A3
00c32b48  d6f34000                 adda.w (0x0,A3,D4w*0x1),A3
00c32b4c  280b                     move.l A3,D4
00c32b4e  2215                     move.l (A5),D1
00c32b50  d285                     add.l D5,D1
00c32b52  08010000                 btst.l #0x0,D1
00c32b56  6702                     beq.b 0x00c32b5a
00c32b5a  343c0b0a                 move.w #0xb0a,D2w
00c32b5e  0839000300c45955         btst.b #0x3,(0x00c45955).l
00c32b66  6704                     beq.b 0x00c32b6c
00c32b68  343c0bfa                 move.w #0xbfa,D2w
00c32b6c  8443                     or.w D3w,D2w
00c32b6e  6100058e                 bsr.w 0x00c330fe
00c32b72  222d0004                 move.l (0x4,A5),D1
00c32b76  d285                     add.l D5,D1
00c32b78  343c0b0a                 move.w #0xb0a,D2w
00c32b7c  0839000200c45955         btst.b #0x2,(0x00c45955).l
00c32b84  6704                     beq.b 0x00c32b8a
00c32b86  343c0bfa                 move.w #0xbfa,D2w
00c32b8a  8443                     or.w D3w,D2w
00c32b8c  61000570                 bsr.w 0x00c330fe
00c32bcc  51c8ff40                 dbf D0w,0x00c32b0e
00c330fe  2f00                     move.l D0,-(SP)
00c33100  2f06                     move.l D6,-(SP)
00c33102  4842                     swap D2
00c33104  3403                     move.w D3w,D2w
00c33106  4842                     swap D2
00c33108  3c07                     move.w D7w,D6w
00c3310a  2044                     movea.l D4,A0
00c3310c  2641                     movea.l D1,A3
00c3310e  ec4e                     lsr.w #0x6,D6w
00c33110  5346                     subq.w #0x1,D6w
00c33112  3002                     move.w D2w,D0w
00c33114  e95a                     rol.w #0x4,D2w
00c33116  0242000f                 andi.w #0xf,D2w
00c3311a  024000f0                 andi.w #0xf0,D0w
00c3311e  661e                     bne.b 0x00c3313e
00c3313e  7000                     moveq 0x0,D0
00c33140  1010                     move.b (A0),D0b
00c33142  e140                     asl.w #0x8,D0w
00c33144  4840                     swap D0
00c33146  2613                     move.l (A3),D3
00c33148  e4a8                     lsr.l D2,D0
00c3314a  4680                     not.l D0
00c3314c  c680                     and.l D0,D3
00c3314e  4680                     not.l D0
00c33150  8680                     or.l D0,D3
00c33152  2683                     move.l D3,(A3)
00c33154  5248                     addq.w #0x1,A0
00c33156  d6fc0028                 adda.w #0x28,A3
00c3315a  51ceffe2                 dbf D6w,0x00c3313e
00c3315e  4842                     swap D2
00c33160  3602                     move.w D2w,D3w
00c33162  4846                     swap D6
00c33164  2c1f                     move.l (SP)+,D6
00c33166  201f                     move.l (SP)+,D0
00c33168  4e75                     rts
00c332bc  23fc000fffff00c456e6     move.l #0xfffff,(0x00c456e6).l
00c332c6  4a3900c45785             tst.b (0x00c45785).l
00c332cc  66e6                     bne.b 0x00c332b4
00c332ce  6100002e                 bsr.w 0x00c332fe
00c332d2  61000e72                 bsr.w 0x00c34146
00c332d6  61000ff8                 bsr.w 0x00c342d0
00c332da  61000aec                 bsr.w 0x00c33dc8
00c332de  4eb900c31c60             jsr 0x00c31c60.l
00c332e4  4a3900c457a1             tst.b (0x00c457a1).l
00c332ea  67ce                     beq.b 0x00c332ba
00c332ec  4eb900c31d64             jsr 0x00c31d64.l
00c332fe  303c00a0                 move.w #0xa0,D0w
00c33302  d07900c45988             add.w (0x00c45988).l,D0w
00c33308  0c400001                 cmpi.w #0x1,D0w
00c3330c  6fee                     ble.b 0x00c332fc
00c3330e  0c40013d                 cmpi.w #0x13d,D0w
00c33312  6ce8                     bge.b 0x00c332fc
00c33314  323c0081                 move.w #0x81,D1w
00c33318  d27900c458d8             add.w (0x00c458d8).l,D1w
00c3331e  33fc000800c45954         move.w #0x8,(0x00c45954).l
00c33326  48a7c000                 movem.w {  D1w D0w},-(SP)
00c3332a  4eb900c2f60a             jsr 0x00c2f60a.l
00c33330  4c9f0003                 movem.w (SP)+,{ D0 D1}
00c33334  5241                     addq.w #0x1,D1w
00c33336  48a7c000                 movem.w {  D1w D0w},-(SP)
00c3333a  4eb900c2f60a             jsr 0x00c2f60a.l
00c33340  4c9f0003                 movem.w (SP)+,{ D0 D1}
00c33344  5241                     addq.w #0x1,D1w
00c33346  48a7c000                 movem.w {  D1w D0w},-(SP)
00c3334a  4eb900c2f60a             jsr 0x00c2f60a.l
00c33350  4c9f0003                 movem.w (SP)+,{ D0 D1}
00c33354  5340                     subq.w #0x1,D0w
00c33356  5241                     addq.w #0x1,D1w
00c33358  48a7c000                 movem.w {  D1w D0w},-(SP)
00c3335c  4eb900c2f60a             jsr 0x00c2f60a.l
00c33362  4c9f0003                 movem.w (SP)+,{ D0 D1}
00c33366  5440                     addq.w #0x2,D0w
00c33368  4eb900c2f60a             jsr 0x00c2f60a.l
00c3336e  4e75                     rts
00c33da4  2a3900c45b50             move.l (0x00c45b50).l,D5
00c33daa  028500004200             andi.l #0x4200,D5
00c33db0  6714                     beq.b 0x00c33dc6
00c33dc6  4e75                     rts
00c33dc8  4a7900c459c0             tst.w (0x00c459c0).l
00c33dce  6dd4                     blt.b 0x00c33da4
00c34146  23fc000fffff00c456e6     move.l #0xfffff,(0x00c456e6).l
